            0u1	 18	               	"C1, C5, C7, C8, C10, C11, C14, C15, C16, C17, C18, C20, C22, C25, C26, C27, C28, C30"
           0u15	  1	               	"C3"
           100R	 11	               	"R5, R6, R13, R15, R20, R21, R24, R25, R26, R27, R28"
            10K	  1	               	"R22"
           10uF	  1	               	"C24"
             1K	  4	               	"R2, R10, R11, R12"
            20R	  2	               	"R16, R18"
           220R	  1	               	"R4"
    22uH 200 mA	  1	               	"L2"
             2K	  1	               	"R14"
            2u2	  3	               	"C2, C23, C29"
            33K	  1	               	"R8"
            40R	  1	               	"R17"
          470pF	  1	               	"C9"
           470R	  2	               	"R3, R23"
           47uF	  1	               	"C4"
            4u7	  4	               	"C12, C13, C31, C32"
            5K9	  1	               	"R1"
           620R	  1	               	"R9"
      74LVC1G86	  1	               	"U14"
            75R	  2	               	"R7, R19"
          8 MHz	  1	               	"X1"
         ADG704	  1	               	"U9"
           bead	  2	               	"L1, L3"
       BLUE_LED	  1	               	"D6"
              C	  3	               	"C6, C19, C21"
      CONN_10X2	  2	               	"P2, P3"
         CONN_2	  3	               	"P1, P4, P5"
         CONN_3	  1	               	"K1"
         CONN_5	  1	               	"P7"
         CONN_6	  1	               	"P6"
     DAC084S085	  1	               	"U8"
       DIODESCH	  5	               	"D1, D2, D3, D4, D7"
   Ferrite Bead	  1	               	"L4"
        FMS6141	  1	               	"U7"
    LD39015MXXR	  1	               	"U13"
         LM2842	  1	               	"U3"
          LM358	  1	               	"U4"
    MC78LCXXNTR	  1	               	"U10"
        MCP6562	  1	               	"U5"
         OPA830	  1	               	"U11"
        RED LED	  1	               	"D8"
        RED_LED	  1	               	"D5"
  STM32F405RGT6	  1	               	"U12"
   SWITCHREGMOD	  2	               	"U1, U2"
        TLV3501	  1	               	"U6"
