             0R	  2	               	"R24, R25"
            0u1	 22	               	"C1, C2, C4, C5, C7, C8, C10, C12, C18, C20, C21, C22, C23, C26, C28, C29, C32, C33, C34, C35, C36, C40"	 10V
           0u15	  1	               	"C15"
           100R	 10	               	"R4, R5, R6, R7, R17, R19, R26, R27, R28, R29"
            10K	  1	               	"R1"
           10uF	  4	               	"C16, C17, C19, C39"	 10V
           15nF	  1	               	"C14"
             1K	  3	               	"R14, R15, R16"
            1K2	  1	               	"R13"
            20R	  2	               	"R20, R22"
           22nH	  1	               	"L1"
          250pF	  1	               	"C27"
             2K	  1	               	"R18"
            2u2	  4	               	"C3, C6, L2, L4"	MLZ1608A2R2WT	Farnell 2215629
     30V  500mA	  1	        SOD-123	"D2"	 30V
      30V 500mA	  1	               	"D6"
            33K	  1	               	"R12"
           33uF	  2	               	"C24, C25"
             3K	  1	               	"R31"
            40R	  1	               	"R21"
          470pF	  2	               	"C37, C38"
           470R	  3	               	"R2, R3, R10"
            4K1	  1	               	"R8"
            4u7	  6	               	"C9, C11, C13, C30, C31, C41"	50 V
           680R	  1	               	"R9"
      74LVC1G86	  1	        SOT23-5	"U3"
            75R	  2	               	"R11, R23"
             9K	  1	               	"R30"
         ADG704	  1	        MSOP-10	"U12"
       BD9G101G	  1	               	"U4"	BD9101G	Farnell 2373587
       Blue Led	  1	           0603	"D3"
         CONN_1	  5	               	"P6, P7, P8, P9, P10"
         CONN_2	  1	               	"P1"
        CONN_20	  2	               	"P2, P3"
         CONN_3	  1	               	"K1"
         CONN_5	  1	               	"P5"
         CONN_6	  1	               	"P4"
     DAC084S085	  1	        MSOP-10	"U11"
       DIODESCH	  2	               	"D4, D5"
        FMS6141	  1	         SC70-5	"U10"
    LD39015MXXR	  1	               	"U5"
          LM358	  1	               	"U7"
  LPS4018-473MR	  1	               	"L3"
        MCP6562	  1	         MSOP-8	"U8"
         OPA830	  1	        SOT23-5	"U13"
        RED LED	  1	           0603	"D1"
          SI501	  1	               	"U1"
         SI8642	  1	               	"U6"
  STM32F405RGT6	  1	               	"U2"
        TLV3501	  1	        SOT23-6	"U9"
